sex,age,educ,status,income,carrier,x1,x2,x3,x4,mean_x,grd_x
1,1,2,2,1,2,3,4,3,5,3.75,4
2,2,2,2,1,2,3,5,4,2,3.5,4
2,2,2,2,1,2,4,5,4,4,4.25,5
2,2,2,2,1,2,2,4,5,3,3.5,4
2,2,2,2,1,2,5,4,3,3,3.75,4
1,1,2,2,1,2,3,4,3,5,3.75,4
2,2,2,2,1,2,3,5,4,2,3.5,4
2,2,2,2,1,2,4,5,4,4,4.25,5
1,1,2,2,1,2,2,4,5,3,3.5,4
2,2,2,2,1,2,5,4,3,3,3.75,4
1,1,2,2,1,2,3,4,3,5,3.75,4
2,2,2,2,1,2,3,5,4,2,3.5,4
2,2,2,2,1,2,4,5,4,4,4.25,5
1,1,2,2,1,2,2,4,5,3,3.5,4
2,2,2,2,1,2,5,4,3,3,3.75,4
1,1,2,2,1,2,3,4,3,5,3.75,4
2,2,2,2,1,2,3,5,4,2,3.5,4
2,2,2,2,1,2,4,5,4,4,4.25,5
1,1,2,2,1,2,2,4,5,3,3.5,4
2,2,2,2,1,2,5,4,5,3,4.25,5
1,1,2,2,1,2,3,4,5,5,4.25,5
2,2,2,2,1,2,3,5,4,2,3.5,4
2,2,2,2,1,2,4,5,4,4,4.25,5
1,1,2,2,1,2,2,4,5,3,3.5,4
2,2,2,2,1,2,5,4,5,3,4.25,5
1,1,2,2,1,2,3,4,5,5,4.25,5
2,2,2,2,1,2,3,5,4,2,3.5,4
2,2,2,2,1,2,4,5,4,4,4.25,5
1,1,2,2,1,2,2,4,5,3,3.5,4
2,2,2,2,1,2,5,4,5,3,4.25,5
1,1,2,2,1,2,3,4,5,5,4.25,5
2,2,2,2,1,2,3,5,4,2,3.5,4
2,2,2,2,1,2,4,5,4,4,4.25,5
1,1,2,2,1,2,2,4,5,3,3.5,4
2,2,2,2,1,2,5,4,5,3,4.25,5
1,1,2,2,1,2,3,4,5,5,4.25,5
2,2,2,2,1,2,3,5,4,2,3.5,4
2,2,2,2,1,2,4,5,4,4,4.25,5
1,1,2,2,1,2,2,4,5,3,3.5,4
2,2,2,2,1,2,5,4,3,3,3.75,4
1,1,2,2,1,2,3,4,3,5,3.75,4
2,2,2,2,1,2,3,3,4,2,3,3
2,2,2,2,1,2,4,3,4,4,3.75,4
1,1,2,2,1,2,2,4,5,3,3.5,4
2,2,2,2,1,2,5,4,5,3,4.25,5
1,1,2,2,1,2,3,4,5,5,4.25,5
2,2,2,2,1,2,3,5,4,2,3.5,4
2,2,2,2,1,2,4,5,4,4,4.25,5
1,1,2,2,1,2,2,4,5,3,3.5,4
2,2,2,2,1,2,5,4,5,3,4.25,5
1,1,2,2,1,2,3,4,5,5,4.25,5
2,2,2,2,1,2,3,5,4,2,3.5,4
2,2,2,2,1,2,4,5,4,4,4.25,5
2,2,2,2,1,2,2,4,5,3,3.5,4
2,2,2,2,1,2,5,4,3,3,3.75,4
1,1,2,2,1,2,3,4,3,5,3.75,4
2,2,2,2,1,2,3,5,4,2,3.5,4
2,2,2,2,1,2,4,5,4,4,4.25,5
1,1,2,2,1,2,2,4,5,3,3.5,4
2,2,2,2,1,2,5,4,5,3,4.25,5
1,1,2,2,1,2,3,4,5,5,4.25,5
2,2,2,2,1,2,3,3,4,2,3,3
2,2,2,2,1,2,4,3,4,4,3.75,4
1,1,2,2,1,2,2,4,5,3,3.5,4
2,2,2,2,1,2,5,4,3,3,3.75,4
1,1,2,2,1,2,3,4,3,5,3.75,4
2,2,2,2,1,2,3,3,4,2,3,3
2,2,2,2,1,2,4,3,4,4,3.75,4
1,1,2,2,1,2,2,4,5,3,3.5,4
2,2,2,2,1,2,5,4,3,3,3.75,4
1,1,2,2,1,2,3,4,3,5,3.75,4
2,2,2,2,1,2,3,3,4,2,3,3
2,2,2,2,1,2,4,3,4,4,3.75,4
1,1,2,2,1,2,2,4,5,3,3.5,4
2,2,2,2,1,2,5,4,3,3,3.75,4
1,1,2,2,1,2,3,4,3,5,3.75,4
2,2,2,2,1,2,3,5,4,2,3.5,4
2,2,2,2,1,2,4,5,4,4,4.25,5
1,1,2,2,1,2,2,4,5,3,3.5,4
2,2,2,2,1,2,5,4,3,3,3.75,4
1,1,2,2,1,2,3,4,3,5,3.75,4
2,2,2,2,1,2,3,3,4,2,3,3
2,2,2,2,1,2,4,3,4,4,3.75,4
1,1,2,2,1,2,2,4,5,3,3.5,4
2,2,2,2,1,2,5,4,3,3,3.75,4
1,1,2,2,1,2,3,4,3,5,3.75,4
2,2,2,2,1,2,3,3,4,2,3,3
2,2,2,2,1,2,4,3,4,4,3.75,4
1,1,2,2,1,2,2,4,5,3,3.5,4
2,2,2,2,1,2,5,4,3,3,3.75,4
1,1,2,2,1,2,3,4,3,5,3.75,4
2,2,2,2,1,2,3,3,4,2,3,3
2,2,2,2,1,2,4,3,4,4,3.75,4
1,1,2,2,1,2,2,4,5,3,3.5,4
2,2,2,2,1,2,5,4,3,3,3.75,4
1,1,2,2,1,2,3,4,3,5,3.75,4
2,2,2,2,1,2,3,3,4,2,3,3
2,2,2,2,1,2,4,3,4,4,3.75,4
1,1,2,2,1,2,2,4,5,3,3.5,4
2,2,2,2,1,2,5,4,3,3,3.75,4
1,1,2,2,1,2,3,4,3,5,3.75,4
2,2,2,2,1,2,3,3,4,2,3,3
2,2,2,2,1,2,4,3,4,4,3.75,4
2,2,2,2,1,2,2,4,5,3,3.5,4
2,2,2,2,1,2,5,4,3,3,3.75,4
1,1,2,2,1,2,3,4,3,5,3.75,4
2,2,2,2,1,2,3,3,4,2,3,3
2,2,2,2,1,2,4,3,4,4,3.75,4
1,1,2,2,1,2,2,4,5,3,3.5,4
2,2,2,2,1,2,5,4,3,3,3.75,4
1,1,2,2,1,2,3,4,3,5,3.75,4
2,2,2,2,1,2,3,3,4,2,3,3
2,2,2,2,1,2,4,3,4,4,3.75,4
1,1,2,2,1,2,2,4,5,3,3.5,4
2,2,2,2,1,2,5,4,3,3,3.75,4
1,1,2,2,1,2,3,4,3,5,3.75,4
2,2,2,2,1,2,3,3,4,2,3,3
2,2,2,2,1,2,4,3,4,4,3.75,4
1,1,2,2,1,2,2,4,5,3,3.5,4
2,2,2,2,1,2,5,4,3,3,3.75,4
1,1,2,2,1,2,3,4,3,5,3.75,4
2,2,2,2,1,2,3,3,4,2,3,3
2,2,2,2,1,2,4,3,4,4,3.75,4
1,1,2,2,1,2,2,4,5,3,3.5,4
2,2,2,2,1,2,5,4,3,3,3.75,4
1,1,2,2,1,2,3,4,3,5,3.75,4
2,2,2,2,1,2,3,3,4,2,3,3
2,2,2,2,1,2,4,3,4,4,3.75,4
1,1,2,2,1,2,2,4,5,3,3.5,4
2,2,2,2,1,2,5,4,3,3,3.75,4
1,1,2,2,1,2,3,4,3,5,3.75,4
2,2,2,2,1,2,3,3,4,2,3,3
2,2,2,2,1,2,4,3,4,4,3.75,4
1,1,2,2,1,2,2,4,5,3,3.5,4
2,2,2,2,1,2,5,4,3,3,3.75,4
1,1,2,2,1,2,3,4,3,5,3.75,4
2,2,2,2,1,2,3,3,4,2,3,3
2,2,2,2,1,2,4,3,4,4,3.75,4
1,1,2,2,1,2,2,4,5,3,3.5,4
2,2,2,2,1,2,5,4,3,3,3.75,4
1,1,2,2,1,2,3,4,3,5,3.75,4
2,2,2,2,1,2,3,3,4,2,3,3
2,2,2,2,1,2,4,3,4,4,3.75,4
1,1,2,2,1,2,2,4,5,3,3.5,4
2,2,2,2,1,2,5,4,3,3,3.75,4
1,1,2,2,1,2,3,4,3,5,3.75,4
2,2,2,2,1,2,3,3,4,2,3,3
2,2,2,2,1,2,4,3,4,4,3.75,4
1,1,2,2,1,2,2,4,5,3,3.5,4
2,2,2,2,1,2,5,4,3,3,3.75,4
